PERMNO,date,TICKER,COMNAM,PRC,RET,CFACPR
86580,20190717,NVDA,NVIDIA CORP,169.71001,0.015741,4
86580,20190718,NVDA,NVIDIA CORP,170.17999,0.002769,4
86580,20190719,NVDA,NVIDIA CORP,168.44000,-0.010224,4
86580,20190722,NVDA,NVIDIA CORP,171.32001,0.017098,4
86580,20190723,NVDA,NVIDIA CORP,175.66000,0.025333,4
86580,20190724,NVDA,NVIDIA CORP,178.66000,0.017078,4
86580,20190725,NVDA,NVIDIA CORP,173.38000,-0.029553,4
86580,20190726,NVDA,NVIDIA CORP,175.07001,0.009747,4
86580,20190729,NVDA,NVIDIA CORP,174.82001,-0.001428,4
86580,20190730,NVDA,NVIDIA CORP,175.45000,0.003604,4
86580,20190731,NVDA,NVIDIA CORP,168.72000,-0.038358,4
86580,20190801,NVDA,NVIDIA CORP,164.92000,-0.022523,4
86580,20190802,NVDA,NVIDIA CORP,161.19000,-0.022617,4
86580,20190805,NVDA,NVIDIA CORP,150.78999,-0.064520,4
86580,20190806,NVDA,NVIDIA CORP,152.35001,0.010346,4
86580,20190807,NVDA,NVIDIA CORP,153.89000,0.010108,4
86580,20190808,NVDA,NVIDIA CORP,158.25999,0.028397,4
86580,20190809,NVDA,NVIDIA CORP,154.17999,-0.025780,4
86580,20190812,NVDA,NVIDIA CORP,151.45000,-0.017707,4
86580,20190813,NVDA,NVIDIA CORP,156.05000,0.030373,4
86580,20190814,NVDA,NVIDIA CORP,150.07001,-0.038321,4
86580,20190815,NVDA,NVIDIA CORP,148.77000,-0.008663,4
86580,20190816,NVDA,NVIDIA CORP,159.56000,0.072528,4
86580,20190819,NVDA,NVIDIA CORP,170.78000,0.070318,4
86580,20190820,NVDA,NVIDIA CORP,167.87000,-0.017039,4
86580,20190821,NVDA,NVIDIA CORP,171.23000,0.020015,4
86580,20190822,NVDA,NVIDIA CORP,171.48000,0.001460,4
86580,20190823,NVDA,NVIDIA CORP,162.44000,-0.052717,4
86580,20190826,NVDA,NVIDIA CORP,165.45000,0.018530,4
86580,20190827,NVDA,NVIDIA CORP,161.80000,-0.022061,4
86580,20190828,NVDA,NVIDIA CORP,161.22000,-0.002596,4
86580,20190829,NVDA,NVIDIA CORP,167.00000,0.035852,4
86580,20190830,NVDA,NVIDIA CORP,167.50999,0.003054,4
86580,20190903,NVDA,NVIDIA CORP,164.17000,-0.019939,4
86580,20190904,NVDA,NVIDIA CORP,168.75999,0.027959,4
86580,20190905,NVDA,NVIDIA CORP,179.74001,0.065063,4
